Date,Region,stock_nappe,precip_tot,T2M,surf_agri,prelev_agri_pct,prelev_dom_pct,prelev_ind_pct,press_ress_int,prelev_total_bm3,indice_stress,croiss_pop,ress_capita,indice_aridite
2018-10-01,Loukkos,69.2182312,212.55,18.98,298422.599271233,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.04872875554547,802.954246532932,7.3343685300207
2018-11-01,Loukkos,89.42455485,133.66,12.83,297646.410060274,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.04249317421435,802.249881379129,5.85457731055629
2018-12-01,Loukkos,84.25700988,13.33,11.95,296895.259210959,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.0364587406681,801.568237681901,0.607289293849658
2019-01-01,Loukkos,61.2834654,63.53,9.64,296119.07,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.03022315933698,800.863872528099,3.2347250509165
2019-02-01,Loukkos,64.016255375,51.58,11.44,296373.31450411,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.02983516709697,800.169802168271,2.40578358208955
2019-03-01,Loukkos,50.711488725,16.99,14.24,296602.95470137,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.02948472249309,799.542899907782,0.700907590759076
2019-04-01,Loukkos,44.58908768,90.41,15.07,296857.199205479,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.02909673025308,798.848829547954,3.60630235341045
2019-05-01,Loukkos,49.8055048,0.59,21.08,297103.242273973,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.02872125389178,798.177148554573,0.018983268983269
2019-06-01,Loukkos,55.03908445,0.36,22.61,297357.486778082,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.02833326165177,797.483078194745,0.0110395584176633
2019-07-01,Loukkos,62.43499376,0.33,25.59,297603.529846575,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.02795778529047,796.811397201364,0.00927226749086822
2019-08-01,Loukkos,60.947852125,0.22,28.15,297857.774350685,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.02756979305045,796.117326841536,0.00576671035386632
2019-09-01,Loukkos,55.94497682,4.04,24.84,298112.018854795,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.02718180081044,795.423256481708,0.115958668197474
2019-10-01,Loukkos,45.3323898,35.68,20.28,298358.061923288,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.02680632444914,794.751575488327,1.17833553500661
